   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
8269,ΣΚΟΠΕΛΟΣ ΔΙΑΚΟΠΕΣ,0756Κ015Α0164301,Θεσσαλίας,Σποράδων,Ξενοδοχείο Κλασικού Τύπου,5Α,ΓΥΦΤΟΛΑΚΑΣ,370 03,ΣΚΟΠΕΛΟΥ,,info@skopelos-holidays.gr,2424024301,HOLIDAYS AE,HOLIDAYS AE,2000,66,29
8270,ΑΠΟΛΛΩΝΕΙΟΝ - APOLLONION,1177Κ05ΑΑ0014801,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,ΑΑ,ΑΠΟΛΛΩΝΟΣ 12,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281089056,ΕΜΜΑΝΟΥΗΛ ΧΑΛΑΡΗΣ Α.Ε.,ΧΑΛΑΡΗΣ ΕΜΜΑΝΟΥΗΛ Α.Ε.,2009,35,17
8271,ΒΙΛΛΑ ΣΕΛΕΝΑ-VILLA SELENA,1177Κ05ΑΑ0294501,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,ΑΑ,ΜΠΑΜΠΑΓΙΩΤΟΥ 1,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281086007,ΕΚΜΕΤ.ΞΕΝ.Κ'ΤΟΥΡ.ΕΠΙΧ.ΑΙΓΑΙΟΥ Α.Ε.,ΝΕΑ ΚΤΗΜΑΤΙΚΗ Α.Ε.,2008,12,5
8272,ΠΑΛΑΤΙΝΟ ΠΛΟΕΣ-PALATINO PLOES,1177Κ05ΑΑ0015301,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,ΑΑ,ΑΠΟΛΛΩΝΟΣ 2ΕΡΜΟΥΠΟΛΕΩΣ,84100,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΕΡΜΟΥΠΟΛΕΩΣ,,2281079360,Κ.ΛΟΡΕΝΤΖΟΣ ΜΟΝ. Ε.Π.Ε.,ΛΟΡΕΝΤΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ -ΜΑΣΤΟΡΑΚΗ ΕΥΑΓΓΕΛΙΑ,2009,19,7
8273,ΣΥΡΟΥ ΜΕΛΑΘΡΟΝ,1177Κ050Α0125900,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου και Επιπλωμένων Διαμερισμάτων,0Α,ΜΠΑΜΠΑΓΙΩΤΗ 5,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 85963,ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΔΕΛΦΩΝ ΔΡΑΚΑΚΗ,ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΔΕΛΦΩΝ ΔΡΑΚΑΚΗ,1996,58,31
8274,ΑΡΧΟΝΤΙΚΟ ΒΟΥΡΛΗ,1177Κ050Α0124300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Α,ΜΑΥΡΟΚΟΡΔΑΤΟΥ 5,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 29440,ΩΜΕΓΑ ΑΕΒΕ,ΩΜΕΓΑ ΑΕΒΕ,1984,16,7
8275,ΕΥΑΓΓΕΛΙΝΗ,1177Κ050Α0146800,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Α,ΠΟΣΕΙΔΩΝΙΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΠΟΣΕΙΔΩΝΙΑΣ,,,ΒΑΜΒΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ,ΒΑΜΒΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ,1994,16,7
8276,ΛΙΛΑ,1177Κ050Α0014201,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Α,Ι. ΚΟΣΜΑ Κ' ΦΙΛ.ΕΤΑΙΡΕΙΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281082738,ΒΑΣΙΛΙΚΗ ΠΑΠΑΙΩΝΟΥ ΤΟΥΡ.ΕΠΙΧ.ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.,ΒΑΣΙΛΙΚΗ ΠΑΠΑΙΩΝΝΟΥ ΤΟΥΡ.ΕΠΙΧ. ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.,2009,30,12
8277,ΟΜΗΡΟΣ,1177Κ054Α0125400,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Α,ΟΜΗΡΟΥ 43,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810-84910,ΑΕ ΟΜΗΡΟΣ ΤΟΥΡ κ ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΟΜΗΡΟΣ ΤΟΥΡ κ ΞΕΝ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ,1989,26,13
8278,ΔΙΟΓΕΝΗΣ,1177Κ060Α0298100,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό Ξενοδοχείο Κλασικού Τύπου,0Α,ΠΛΑΤΕΙΑ ΠΑΠΑΓΟΥ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 86301,ΔΙΟΓΕΝΗΣ ΣΥΡΟΥ Α.Ε.,ΔΙΟΓΕΝΗΣ ΣΥΡΟΥ Α.Ε.,1995,81,43
8279,ΑΚΤΗ ΚΟΚΚΙΝΑ - KOKKINA BEACH,1177Κ013Α0146000,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Β,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 43010,ΓΟΥΙΝΦΡΙΝΤ ΚΟΝΣΝΤΟΡΦ κ ΥΙΟΣ Ε.Ε,ΓΟΥΙΝΦΡΙΝΤ ΚΟΝΣΝΤΟΡΦ,1997,32,16
8280,ΑΠΟΛΛΩΝ,1177Κ013Α0123500,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Β,ΚΙΝΙ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 71490,ΞΕΝ/ΚΕΣ κ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΚΑΠΑ-ΤΑΥ ΑΕ,ΞΕΝ/ΚΕΣ κ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΚΑΠΑ-ΤΑΥ ΑΕ,2000,59,30
8281,ΜΠΡΑΖΖΕΡΑ- BRAZZERA,1177Κ013Α0146200,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Β,ΦΟΙΝΙΚΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 42212,ΡΗΓΟΥΤΣΟΥ ΑΝΝΑ,ΡΗΓΟΥΤΣΟΥ ΑΝΝΑ,2001,29,14
8282,ΠΟΣΕΙΔΩΝΕΙΟΝ,1177Κ010Β0147000,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Β,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,,ΑΕ ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ ΦΕΤΟΥΡΗ,ΑΕ ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ ΦΕΤΟΥΡΗ,1960,101,60
8283,ΑΚΤΑΙΟΝ,1177Κ050Β0297800,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Β,ΑΚΤΗ Π.ΡΑΛΛΗ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 22675,ΑΛΗΦΡΑΓΚΗ ΜΑΡΙΑ,ΑΛΗΦΡΑΓΚΗ ΜΑΡ. ΘΕΟΔ. ΔΗΜΗΤΡ. ΔΡΑΚΟΥ ΑΓΓΕΛ. ΚΩΝΣΤΑ ΚΩΝΣ.,1960,20,9
8284,ΒΙΛΛΑ ΝΟΣΤΟΣ-VILLA NOSTOS.,1177Κ050Β0124500,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Β,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,,ΜΑΡΙΑ-ΑΝΝΑ ΛΕΚΛΕΡ ΝΤΕ ΛΑΒΕΡΠΙΛΛΙΕΡ,ΜΑΡΙΑ-ΑΝΝΑ ΛΕΚΛΕΡ ΝΤΕ ΛΑΒΕΡΠΙΛΛΙΕΡ,1990,12,7
8285,ΜΟΝΤΕ ΚΡΙΣΤΟ,1177Κ050Β0010201,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό κατάλυμα,0Β,ΜΥΤΙΛΗΝΗΣ Κ΄ΘΕΣΣΑΛΟΝΙΚΗΣ 13ΕΡΜΟΥΠΟΛΕΩΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΕΡΜΟΥΠΟΛΕΩΣ,,2281085252,ΠΑΛΑΙΟΚΑΣΤΡΟ Α.Ε.,ΜΗΤΡΟΠΟΛΗ ΣΥΡΟΥ,2003,17,7
8286,ΑΙΓΛΗ,1177Κ012Α0124100,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Γ,ΚΛΕΙΣΘΕΝΟΥΣ 14,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 79279,ΒΟΥΤΣΙΝΟΥ ΡΟΖΑ,ΒΟΥΤΣΙΝΟΥ ΡΟΖΑ,2000,22,13
8287,ΑΡΧΑΙΟΝ ΜΠΗΤΣ,1177Κ012Α0146600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Γ,ΑΓΚΑΘΩΠΕΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 43920,Χ.ΠΑΠΑΧΡΗΣΤΟΥ-Μ.ΞΑΓΟΡΑΡΗΣ ΟΕ,ΔΗΜΟΣ ΠΟΣΕΙΔΩΝΙΑΣ,2000,21,10
8288,ΑΧΛΑΔΙ,1177Κ010Γ0145500,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Γ,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 61213,ΜΠΟΛΙΑΣ ΑΛΕΞΑΝΔΡΟΣ ΤΟΥ ΜΙΧΑΗΛ,"ΜΠΟΛΙΑ ΑΙΜΙΛΙΑ,ΜΠΟΛΙΑΣ ΜΙΧΑΗΛ,ΜΠΟΛΙΑΣ ΕΥΑΓΓΕΛΟΣ",1976,25,13
8289,ΜΠΛΕ ΘΑΛΑΣΣΑ-BLUE SEA,1177Κ012Α0206300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Γ,ΓΑΛΗΣΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 42147,ΦΡΕΡΗΣ ΓΕΩΡΓΙΟΣ,ΦΡΕΡΗΣ ΓΕΩΡΓΙΟΣ,1994,19,10
8290,ΦΡΑΝΣΟΥΑΖ-FRANCOIS.,1177Κ012Α0206600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Γ,ΓΑΛΗΣΣΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 28187,ΑΕ ΞΕΝ ΤΟΥΡ.ΕΜΠ.ΝΑΥΤ ΒΙΟΤ κ ΒΙΟΜ/ΚΗ ΦΡ.ΝΟΜΙΚΟΥ,ΑΕ ΞΕΝ ΤΟΥΡ.ΕΜΠ.ΝΑΥΤ ΒΙΟΤ κ ΒΙΟΜ/ΚΗ ΦΡ.ΝΟΜΙΚΟΥ,1981,64,34
8291,ΑΙΓΑΙΟΠΕΛΑΓΗΤΙΚΟ ΑΣΤΕΡΙ-AEGEAN STAR,1177Κ030Γ0124000,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,0Γ,ΑΖΟΛΙΜΝΟΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 61373,ΙΩΑΝΝΗΣ ΓΕΩΡΓΙΟΥ ΒΟΥΤΣΙΝΟΣ,ΙΩΑΝΝΗΣ ΓΕΩΡΓΙΟΥ ΒΟΥΤΣΙΝΟΣ,2000,12,6
8292,ΧΑΛΑΡΗΣ,1177Κ060Γ0315600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Παραδοσιακό Ξενοδοχείο Κλασικού Τύπου,0Γ,ΕΡΜΟΥΠΟΛΗ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281087111,"""ΑΕ ΞΕΝ.""""ΧΑΛΑΡΗΣ"""" ΤΟΥΡ.ΞΕΝ/κ ΕΜΠ.ΕΠΙΧ/ΣΕΙΣ""","""ΑΕ ΞΕΝ.""""ΧΑΛΑΡΗΣ"""" ΤΟΥΡ.ΞΕΝ/κ ΕΜΠ.ΕΠΙΧ/ΣΕΙΣ""",1991,51,28
8293,ΜΥΚΟΝΟΣ,1177Κ010Ε0125200,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,0Ε,ΕΡΜΟΥΠΟΛΕΩΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΕΡΜΟΥΠΟΛΕΩΣ,,,ΠΑΝΑΓΙΩΤΗΣ ΑΝΤΩΝΙΑΔΗΣ,ΙΕΡΑ ΜΟΝΗ ΚΕΧΡΟΒΟΥΝΙΟΥ ΤΗΝΟΥ,1960,17,9
8294,ΕΛΠΙΔΑ,1177Κ011Α0123600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,1Α,ΚΙΝΙΑΝΩ ΣΥΡΟΥ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΑΝΩ ΣΥΡΟΥ,,22810 85557,ΨΗΦΙΑΚΗ ΕΛΛΑΣ ΑΣΤΙΚ.Μ.Κ.(E- HELLAS),ΣΙΚΑΡΑΣ ΝΙΚΟΛΑΟΣ,1985,18,12
8295,ΕΜΙΛΥ,1177Κ011Α0313600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,1Α,ΑΧΛΑΔΙ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281061400,ΜΠΟΛΙΑ ΑΘΑΝΑΣΙΑ,ΜΠΟΛΙΑΣ ΑΛΕΞΑΝΔΡΟΣ,1968,17,11
8296,ΑΚΡΩΤΗΡΙ,1177Κ012Α0312300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΓΑΣ ΓΙΑΛΟΣ ΒΑΡΗΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,,ΑΕ ΙΩΑΝ. ΑΡΓΥΡΙΟΥ κ ΣΙΑ Ξ.Τ.Ε.,ΑΕ ΙΩΑΝ. ΑΡΓΥΡΙΟΥ κ ΣΙΑ Ξ.Τ.Ε.,1983,55,29
8297,ΑΛΕΞΑΝΔΡΑ,1177Κ012Α0145300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΓΑΣ ΓΙΑΛΟΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,,ΣΙΓΑΛΑΣ ΑΝΤΩΝΙΟΣ,ΑΝΤΩΝΙΟΣ ΣΙΓΑΛΑΣ,1975,58,30
8298,ΑΛΚΥΩΝ,1177Κ012Α0306000,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΕΓΑΣ ΓΥΑΛΟΣ ΒΑΡΗΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 61000,ΑΕ ΓΕΩΡΓ.κ ΙΑΚΩΒ.ΑΡΒΑΝΙΤΗΣ ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΓΕΩΡΓ.κ ΙΑΚΩΒ.ΑΡΒΑΝΙΤΗΣ ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ,1990,47,25
8299,ΑΤΛΑΝΤΙΣ,1177Κ012Α0011201,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΟΡΜΟΣ ΒΑΡΗΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 61454,ΙΩΑΝΝΟΥ ΕΛΕΝΗ - ΕΙΡΗΝΗ,ΙΩΑΝΝΟΥ ΧΡΗΣΤΟΣ Κ' ΕΛΕΝΗ-ΕΙΡΗΝΗ,2004,38,16
8300,ΒΑΡΗ ΠΑΡΑΛΙΑ,1177Κ012Α0888300,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΒΑΡΗΠΟΣΕΙΔΩΝΙΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΠΟΣΕΙΔΩΝΙΑΣ,,22810 61216,ΚΟΥΚΟΥΒΕΣ ΓΕΩΡΓΙΟΣ,ΑΛΠΕΡΤΗΣ ΙΩΣΗΦ,1976,40,25
8301,ΒΕΝΟΙΣ,1177Κ012Α0311600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΓΑΛΗΣΣΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 42833,Α.Ε. ΔΕΣΠΟΙΝΑ ΦΡΕΡΗ-ΕΛΠΙΔΑ ΜΑΡΑΓΚΟΥ,Α.Ε. ΔΕΣΠΟΙΝΑ ΦΡΕΡΗ-ΕΛΠΙΔΑ ΜΑΡΑΓΚΟΥ,1990,58,32
8302,ΗΛΕΚΤΡΑ,1177Κ012Α0009201,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΜΥΛΟΙ-ΒΑΠΟΡΙΑΕΡΜΟΥΠΟΛΕΩΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΕΡΜΟΥΠΟΛΕΩΣ,,2281079488,ΚΟΝΤΟΜΗΤΣΟΥ ΜΑΡΙΑ Κ' ΣΙΑ Ε.Ε.,ΚΟΝΤΟΜΗΤΣΟΣ ΙΩΑΝΝΗΣ Κ΄ ΜΑΡΙΑ,2003,18,10
8303,ΗΛΙΟΒΑΣΙΛΕΜΑ-SUNSET.,1177Κ012Α0123700,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΙΝΙ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 71211,ΓΕΩΡΓΙΟΣ ΖΑΛΩΝΗΣ,ΓΕΩΡΓΙΟΣ ΖΑΛΩΝΗΣ,1992,17,9
8304,ΚΑΜΕΛΟ,1177Κ012Α0320700,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΟΣΕΙΔΩΝΙΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΠΟΣΕΙΔΩΝΙΑΣ,,22810 61217,Λ.Ν.ΜΑΚΡΥΩΝΙΤΗΣ Κ' ΣΙΑ Ο.Ε.,ΜΑΚΡΥΩΝΙΤΗΣ ΒΑΡΘΟΛ.κ ΛΑΥΡΕΝΤΙΟΣ,1976,44,21
8305,ΚΥΚΛΑΔΕΣ,1177Κ012Α0312400,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 42255,"ΚΥΚΛΑΔΕΣ Α.Ε. ΤΟΥΡ ΞΕΝ ΕΜΠ,ΑΓΡΟΤ, ΕΠΙΧ/ΣΕΙΣ","ΚΥΚΛΑΔΕΣ Α.Ε. ΤΟΥΡ ΞΕΝ ΕΜΠ,ΑΓΡΟΤ, ΕΠΙΧ/ΣΕΙΣ",1979,62,32
8306,ΜΠΛΕ ΑΡΜΟΝΙΑ,1177Κ012Α0013001,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΙΝΙ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281071570,ΒΙΔΑΛΗ ΑΝΝΑ-ΜΑΡΙΑ-ΛΟΥΪΖΑ,ΒΙΔΑΛΗ ΑΝΝΑ-ΜΑΡΙΑ-ΛΟΥΪΖΑ,2009,31,14
8307,ΟΛΥΜΠΙΑ,1177Κ012Α0312500,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,ΦΟΙΝΙΚΑΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 42212,ΞΕΝ.ΤΟΥΡ.ΕΜΠ.ΕΠΙΧ. ΟΛΥΜΠΙΑ ΑΕ,ΞΕΝ.ΤΟΥΡ.ΕΜΠ.ΕΠΙΧ. ΟΛΥΜΠΙΑ ΑΕ,1976,93,44
8308,ΠΑΛΛΑΔΙΟΝ,1177Κ012Α0311800,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 86400,ΞΕΝ.-ΕΜΠΟΡ.κ ΤΟΥΡ ΕΠΙΧ/ΣΕΙΣ ΑΕ,ΞΕΝ.-ΕΜΠΟΡ.κ ΤΟΥΡ ΕΠΙΧ/ΣΕΙΣ ΑΕ,1995,56,32
8309,ΡΟΜΑΝΤΙΚΑ,1177Κ012Α0145900,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,2Α,,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,22810 - 87007,ΑΕ ΞΕΝΟΔΟΧΕΙΟ-ΕΣΤΙΑΤΟΡΙΟ ΡΟΜΑΝΤΙΚΑ Ξ.Τ.Ε,ΑΕ ΞΕΝΟΔΟΧΕΙΟ-ΕΣΤΙΑΤΟΡΙΟ ΡΟΜΑΝΤΙΚΑ Ξ.Τ.Ε,1976,58,30
8310,ΡΕΜΒΗ,1177Κ042Α0313301,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου και Επιπλωμένων Διαμερισμάτων,2Α,ΓΑΛΗΣΣΑΣ,84100,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281043078,ΒΑΡΘΑΛΙΤΗΣ ΓΕΩΡΓΙΟΣ Κ' ΙΩΑΝΝΗΣ  Κ' ΣΙΑ Ο.Ε.,ΒΑΡΘΑΛΙΤΗΣ ΓΕΒΡΓΙΟΣ Κ' ΙΩΑΝΝΗΣ  Κ' ΣΙΑ Ο.Ε.,2011,45,18
8311,ΑΜΦΙΤΡΥΩΝ,1177Κ032Α0008501,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΑΡΗ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,,,2281061807,ΑΜΦΙΤΡΥΩΝ Α.Ε.,ΑΜΦΙΤΡΥΩΝ Α.Ε.,2008,84,38
8312,ΔΩΡΑ,1177Κ032Α0005201,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΕΓΑΣ ΓΥΑΛΟΣΠΟΣΕΙΔΩΝΙΑΣ,84100,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΠΟΣΕΙΔΩΝΙΑΣ,,22810 42552,ΜΟΥΣΤΑΚΑ ΘΕΟΔΩΡΑ,ΜΟΥΣΤΑΚΑ ΘΕΟΔΩΡΑ & ΦΩΤΙΟΣ,2006,23,10
8313,ΣΜΑΡΑΓΔΙ,1177Κ032Α0906301,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΦΟΙΝΙΚΑΣΠΟΣΕΙΔΩΝΙΑΣ,84100,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΠΟΣΕΙΔΩΝΙΑΣ,,2281042396,ΔΑΛΕΖΙΟΥ ΣΜΑΡΑΓΔΑ,ΔΑΛΕΖΙΟΣ ΓΕΩΡΓΙΟΣ,,24,11
8314,ΕΡΜΗΣ,1177Κ013Α0908600,Νοτίου Αιγαίου (Κυκλάδες),Σύρου,Ξενοδοχείο Κλασικού Τύπου,3Α,ΠΛΑΤΕΙΑ ΚΑΝΑΡΗΕΡΜΟΥΠΟΛΕΩΣ,841 00,ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΕΡΜΟΥΠΟΛΕΩΣ,,2281083011,ΑΕ ΕΡΜΗΣ ΤΟΥΡ/ΚΑΙ κ ΞΕΝ/ΚΑΙ ΕΠΙΧ/ΣΕΙΣ,ΑΕ ΕΡΜΗΣ ΤΟΥΡ/ΚΑΙ κ ΞΕΝ/ΚΑΙ ΕΠΙΧ/ΣΕΙΣ,1958,130,69
